,ALAMEDA,ALPINE,AMADOR,BUTTE,CALAVERAS,COLUSA,CONTRA COSTA,DEL NORTE,EL DORADO,FRESNO,GLENN,HUMBOLDT,IMPERIAL,INYO,KERN,KINGS,LAKE,LASSEN,LOS ANGELES,MADERA,MARIN,MARIPOSA,MENDOCINO,MERCED,MODOC,MONO,MONTEREY,NAPA,NEVADA,ORANGE,PLACER,PLUMAS,RIVERSIDE,SACRAMENTO,SAN BENITO,SAN BERNARDINO,SAN DIEGO,SAN FRANCISCO,SAN JOAQUIN,SAN LUIS OBISPO,SAN MATEO,SANTA BARBARA,SANTA CLARA,SANTA CRUZ,SHASTA,SIERRA,SISKIYOU,SOLANO,SONOMA,STANISLAUS,SUTTER,TEHAMA,TRINITY,TULARE,TUOLUMNE,VENTURA,YOLO,YUBA
2008-01-01,3669.72,287.33,676.77,2130.03,1057.21,932.12,3338.4,842.9,2153.21,7182.26,1121.55,2451.43,3437.51,1892.16,6557.63,1534.48,1075.19,1624.84,21686.25,2233.36,1231.42,873.2,1861.91,2638.98,1757.69,1427.56,2397.84,873.76,1144.39,6623.11,8212.29,4824.97,823.52,10369.49,9746.65,928.69,3391.88,2344.63,2093.81,2502.62,4896.29,1137.24,2639.21,794.27,3371.09,1925.15,2700.79,3001.14,1123.29,1694.08,1674.14,4879.83,1133.89,2989.46,1506.81,868.79,1540.5687500000001,861.81375
2009-01-01,3669.897,266.225,691.878,2074.995,1003.976,905.265,3361.036,681.906,1987.517,7124.808,1125.682,2611.347,3385.602,2038.009,6512.165,1534.074,1046.347,1770.877,21678.457,2059.177,1264.008,863.311,1793.559,2655.239,1659.35,1195.823,2731.682,876.49,1144.611,6619.295,8215.18,5062.96,894.05,10428.03,9716.29,928.03,3438.61,2471.04,2096.63,2475.19,4651.24,1139.94,2595.56,767.78,3249.18,1926.04,2690.86,3002.64,1124.3,1700.18,1759.54,4806.55,1117.43,3078.33,1486.45,848.53,1540.5687500000001,861.81375
2010-01-01,3669.897,266.225,691.878,2074.995,1003.976,905.265,3361.036,681.906,1987.517,7124.808,1125.682,2611.347,3385.602,2038.009,6512.165,1534.074,1046.347,1770.877,21678.457,2059.177,1264.008,863.311,1793.559,2655.239,1659.35,1195.823,2731.682,876.49,1144.611,6619.295,8215.18,5062.96,894.05,10428.03,9716.29,928.03,3438.61,2471.04,2096.63,2475.19,4651.24,1139.94,2595.56,767.78,3249.18,1926.04,2690.86,3002.64,1124.3,1700.18,1759.54,4806.55,1117.43,3078.33,1486.45,848.53,1540.5687500000001,861.81375
2011-01-01,3608.57,266.14,692.04,2072.76,1080.32,909.85,3378.26,680.65,1981.2,7281.02,1133.38,2664.68,3411.34,2036.43,6588.35,1522.2,1041.13,1771.51,21730.68,2058.99,1258.24,743.39,1784.08,2663.49,1671.22,1194.54,2728.02,868.08,1144.41,6602.82,8254.52,5099.26,899.41,10564.34,9662.2,931.2,3453.68,2473.83,2090.84,2480.1,4560.71,1135.29,2596.72,767.76,3259.11,1923.37,2690.45,2997.51,1119.22,1691.48,1759.53,4800.78,1116.42,3052.75,1503.54,858.27,1540.5687500000001,861.81375
2012-01-01,4145.68,270.49,663.68,2068.47,1004.72,907.32,3493.79,682.43,2019.79,7122.92,1128.81,2667.66,3444.29,2022.21,7331.64,1521.75,1043.39,1774.69,21694.09,2085.74,1260.4,772.32,1794.4,2653.2,1683.82,1168.05,2765.87,899.14,1140.74,6890.78,8257.32,5156.51,895.98,10700.96,11213.79,962.43,3440.12,2481.81,2082.93,2470.6,4677.32,1133.9,2598.03,760.88,3255.36,1990.8,2693.38,2939.82,1106.09,1697.98,1759.54,4842.3,1027.8,3073.05,1493.11,842.12,1540.5687500000001,861.81375
2013-01-01,3987.52,265.09,670.25,2055.43,1097.46,910.37,3514.71,782.44,1605.42,7167.38,1130.43,3026.54,3479.56,1565.14,7307.81,1537.48,1038.39,1845.86,21858.17,2035.22,1259.6,821.83,1816.58,2687.11,1701.0,1163.64,2700.33,892.8,1125.76,6939.45,8145.45,5187.79,939.06,11298.01,10149.0,960.41,3418.98,2493.91,2090.28,2210.22,4643.85,1133.85,2606.66,1146.64,3252.26,1997.66,2702.73,2998.63,1127.82,1664.9,1704.71,4906.15,1092.09,2979.86,1503.59,801.43,1540.5687500000001,861.81375
2014-01-01,3978.73,268.37,681.89,2060.83,1031.03,905.1,3399.09,782.14,2019.89,6955.64,1110.91,3047.39,3497.12,1635.89,7305.05,1545.01,1044.16,1810.72,21737.01,2031.07,1263.82,938.97,1845.12,2663.9,1681.53,1196.15,2555.1,876.89,1118.52,7020.16,2396.4365,1445.55,8356.25,5118.61,927.89,11217.54,10370.11,1032.84,3432.56,2510.94,2083.75,2054.09,4665.66,1137.87,2878.63,495.78,3246.66,1988.98,2677.39,3001.51,1085.22,1682.83,1705.13,4893.64,1086.61,2982.08,1504.83,816.25
2015-01-01,4261.96,220.49,692.11,2288.69,1595.58,1077.11,3962.81,807.47,1620.19,6673.78,1137.36,2571.7,3833.59,2340.52,9600.96,1795.53,980.94,2022.31,23142.76,2810.75,1343.05,1071.56,1587.2,2960.57,1746.65,1194.47,2535.42,966.36,2321.95,6313.05,3020.469,1211.73,11923.71,4987.29,738.67,17772.0,9903.25,1031.1,3613.42,2618.79,2398.02,2187.05,4832.31,1486.85,3542.84,747.59,3310.25,1941.65,3097.64,3081.4,1115.32,2380.92,1339.87,4903.2,1128.96,3601.77,1562.72,877.73
2016-01-01,4261.96,220.49,692.11,2288.69,1595.58,1077.11,3962.81,807.47,1620.19,6673.78,1137.36,2571.7,3833.59,2340.52,9600.96,1795.53,980.94,2022.31,23142.76,2810.75,1343.05,1071.56,1587.2,2960.57,1746.65,1194.47,2535.42,966.36,2321.95,6313.05,3020.469,1211.73,11923.71,4987.29,738.67,17772.0,9903.25,1031.1,3613.42,2618.79,2398.02,2187.05,4832.31,1486.85,3542.84,747.59,3310.25,1941.65,3097.64,3081.4,1115.32,2380.92,1339.87,4903.2,1128.96,3601.77,1562.72,877.73
2017-01-01,3980.96,242.0,721.52,2140.03,1639.49,920.33,3770.92,818.43,1617.89,7067.82,1211.19,2152.87,3968.93,2411.66,10581.44,1996.92,941.16,1920.8,21825.86,2906.14,1280.98,1219.19,1693.03,3087.35,1670.18,1240.88,2427.99,915.67,1247.4,6409.65,2910.36,1009.91,9389.24,4904.97,645.22,11718.51,9120.59,994.41,3629.91,2568.33,2246.96,1986.57,4696.23,1060.16,2356.36,759.67,2645.43,1941.18,2655.4,3113.22,1117.78,1625.32,1880.91,5128.44,1281.51,2963.65,1561.18,859.93
2018-01-01,3824.15,252.46,719.69,2063.45,1190.22,917.88,3589.17,788.62,1669.87,7168.89,1230.24,2098.92,3969.46,2162.19,7555.54,1953.71,912.13,1706.48,21955.67,2731.06,1224.88,983.0,1772.78,2761.46,1678.11,1099.64,2427.68,883.97,1350.74,6419.2,2827.074,1010.19,9393.97,4941.94,645.18,11798.44,9104.02,971.12,3626.02,2554.97,2088.91,1986.48,4648.99,1064.34,2363.55,789.68,2655.19,1915.01,2646.31,3075.93,1121.45,1627.39,1883.78,5148.74,1286.84,2953.56,1536.97,861.79
2019-01-01,3824.15,252.46,719.69,2063.45,1190.22,917.88,3589.17,788.62,1669.87,7168.89,1230.24,2098.92,3969.46,2162.19,7555.54,1953.71,912.13,1706.48,21955.67,2731.06,1224.88,983.0,1772.78,2761.46,1678.11,1099.64,2427.68,883.97,1350.74,6419.2,2827.074,1010.19,9393.97,4941.94,645.18,11798.44,9104.02,971.12,3626.02,2554.97,2088.91,1986.48,4648.99,1064.34,2363.55,789.68,2655.19,1915.01,2646.31,3075.93,1121.45,1627.39,1883.78,5148.74,1286.84,2953.56,1536.97,861.79
2020-01-01,3824.01,247.12,701.41,2080.32,1191.51,925.63,3619.54,854.91,1675.73,7112.54,1220.49,2113.72,3809.64,2126.09,7495.94,1882.18,946.76,1699.28,22016.32,2731.84,1222.15,984.13,1796.96,2755.39,1651.99,1104.97,2437.15,893.59,1352.89,6431.27,2830.412,1078.93,9350.46,5086.54,665.08,11677.78,9112.35,975.99,3630.22,2564.24,2088.39,2071.21,4687.56,1065.68,2382.33,781.13,2682.88,1930.08,2647.34,3083.76,1114.55,1615.27,1955.74,4971.19,1276.45,2943.52,1526.8,860.93
2021-01-01,3836.11,263.93,720.75,2105.28,1260.91,974.46,3654.81,853.26,1727.18,7139.51,1220.69,2247.55,3720.62,2080.14,7532.39,1857.52,1005.24,1802.33,22111.09,2627.75,1221.85,1013.37,1918.7,2753.55,1725.59,1148.06,2408.71,902.27,1419.78,6437.85,2856.733,1137.32,9516.0,5095.23,684.82,11418.91,8886.21,965.43,3642.05,2671.27,2091.8,2139.61,4718.94,1103.11,2506.91,805.76,2918.1,1914.61,2679.03,3087.8,1116.35,1727.79,2001.96,5008.94,1525.59,2977.84,1532.36,878.36
